French,English
partie,part
histoire,history
chercher,search
seulement,only
pensais,thought
aide,help
mois,month
laisser,let
car,because
mettre,to put
aucun,no
chaque,each
parlé,speak
devrait,should
bébé,baby
longtemps,long time
vont,will
pendant,while
aucune,any
place,square
parle,speak
compris,understood
savais,knew
étaient,were
attention,Warning
voici,here is
pourrais,could
affaire,case
donner,give
type,type
leurs,their
train,train
yeux,eyes
façon,way
écoute,listen
dont,whose
trouve,find
premier,first
perdu,lost
main,hand
première,first
pouvoir,power
vieux,old
sois,be
tiens,here
matin,morning
tellement,so much
point,point
venu,came
suite,after
pardon,sorry
vers,towards
minutes,minutes
mis,placed
droit,law
aujourd'hui,today
mari,husband
enfin,finally
espère,hope
attendez,Wait
boulot,job
arrêter,Stop
dirait,would say
terre,Earth
compte,account
donne,given
loin,far
fin,end
croire,believe
gros,large
plutôt,rather
aura,will have
jouer,to play
bureau,office
